X,Y,OBJECTID,REPT_NO,LABEL,YEARDRILLED,GRIDNAME,GRIDLINE,GRIDSTATION,LOCATIONMAP,COMMENTS,AZIMUTHTRUE,DIP,LENGTH_M,OVERBURDEN_M,SURFACEROCK,CORESIZE,LOGSREPORTED,LOCATIONDETAIL
-67.0351986544306,46.9777095347104,4664,472943,TNB-79-2,1979, , , ,Yes,lost core to 13.5 m,55,-45,132,13.5,impure siltstone,BQ,Yes,
-67.0353063042671,46.977960920119,4665,472943,TNB-79-1,1979, , , ,Yes,lost core to 51.8 m,50,-45,141.5,51.8,"tuf intermediaire-mafique,a lapilli polymictique",BQ,Yes,
-67.0348827546479,46.9803108345194,4666,472943,NB-TO-21,1975, , , ,Yes, ,280,-45,177.2,7.3,"tuf silteux intermediaire-mafique,silicifie",AQ,Yes,
-67.0317866642754,46.9809189314078,4667,472943,NB-TO-20,1975, , , ,Yes, ,98,-45,171.6,7.32,greywacke,AQ,Yes,
-67.0298261685147,46.9807210773949,4668,472943,NB-TO-19,1975, , , ,Yes, ,276,-45,77.1,7.9,"siltstone impur, silicifie",AQ,Yes,
-67.0300928043469,46.9797662780025,4669,472943,NB-TO-18,1975, , , ,Yes, ,90,-90,182.1,4.88,"tuf intermediaire, silicifie",AQ,Yes,
-66.5678432490137,47.5057384340565,4670,471875,C-4,1957, ,66+00W,1550'N,Yes, ,156,45,214.2744,6.096,Schist, ,Yes,
-66.560108712414,47.5095203898278,4671,471875,C-5,1957, ,44+00W,1875'N,Yes, ,156,45,79.5528,6.7056,Schist, ,Yes,
-66.5491739437637,47.4993977805281,4672,471875,C-6,1957, ,3450W,3630N,Yes, ,179,45,106.0704,6.7056,Dacite, ,Yes,
-66.5781675473358,47.7108437262128,4673,471864,R-1,1956, ,1575S,1900W,Yes, ,141,50,173.1264,3.048,Sandstone, ,Yes,
-66.5906155625899,47.711913920034,4674,471864,R-2,1956, ,0,4600W,Yes, ,,50,171.2976,7.62,Andesite, ,Yes,
-66.5524522436595,47.4993783504403,4675,471861,CP 39,1975, , , ,Yes,,,90,304.8,1.524,Lithic Tuff,BQ,Yes,
-66.555161317687,47.5007982183606,4676,471861,CP 40,1975, , , ,Yes,,336,88,335.28,9.7536,Siliceous Tuff,BQ,Yes,
-66.5806550791087,47.4897739704755,4677,471861,CP 41,1975, ,24+00S,118+00W,Yes, ,246,50,28.35,11.28,Rhyolite,BQ,Yes,
-66.5754428568907,47.4918462286579,4678,471861,CP 42,1975, ,21+50S,100+00W,Yes, ,337,50,85.65,11.28,Tuff,BQ,Yes,
-66.5760411825121,47.4926463480808,4679,471861,CP 43,1975, ,100W,18+50S,Yes, ,156,50,16.73352,1.31064,Tuff,BQ,Yes,
-66.5148536042131,47.5082038826491,4680,471861,CP 44,1975, ,95+00E,23+00S,Yes, ,156,50,41.81856,1.85928,Metasediments,BQ,Yes,
-66.5642613916676,47.5075213853673,4681,471861,CP 45,1975, , , ,Yes,,156,52,152.7,5.5,Rhyolite,AQ,Yes,
-66.4378669512315,47.5320309332592,4682,471836,Murray-65,1970, ,24N,114E,Yes, ,,90,729.6912,4.2672,Basic Volcanics,AX,Yes,"corrected data provided by S. McCutcheon, May 2015"
-66.428971867448,47.5267204646539,4683,471835,R-59,1964, ,11+00N,140+75E,Yes, ,,90,92.0496,3.9624,Quartz Chlorite Schist, ,Yes,"corrected data provided by S. McCutcheon, May 2015"
-66.4282882817088,47.5263001837178,4684,471835,R-60,1964, ,10+00N,142+75E,Yes, ,,90,76.8096,3.048,Quartz Chlorite Schist, ,Yes,"corrected data provided by S. McCutcheon, May 2015"
-66.428076560692,47.5268263151359,4685,471835,R-61,1964, ,12+00N,142+75E,Yes, ,,90,138.3792,3.048,Andesite, ,Yes,"corrected data provided by S. McCutcheon, May 2015"
-66.4273257934111,47.5266924586678,4686,471835,R-62,1964, ,12+00N,144+75E,Yes, ,,90,122.5296,7.62,Chloritic Schist, ,Yes,"corrected data provided by S. McCutcheon, May 2015"
-66.4404769716048,47.5357336762423,4687,471835,R-64,1964, ,35+00N,104+00E,Yes, ,,90,165.8112,2.4384,Argillate, ,Yes,"corrected data provided by S. McCutcheon, May 2015"
-66.4395758128463,47.5255900478206,4688,471834,R-51,1960, ,0+00,116+00E,Yes, ,156,45,220.3704,4.8768,Schist, ,Yes,"corrected data provided by S. McCutcheon, May 2015"
-66.4619227859082,47.5195179881037,4689,471834,R-54,1960, ,35+00S,68+00E,Yes, ,,90,126.492,4.8768,Schist, ,Yes,"corrected data provided by S. McCutcheon, May 2015"
-66.4449140184322,47.5346628448434,4690,471834,R-55,1960, ,25+00S,108+00E,Yes, ,,90,128.6256,4.8768,Schist, ,Yes,"corrected data provided by S. McCutcheon, May 2015"
-66.4192930877489,47.5219855699696,4691,471834,R-56,1960, ,0+00,168+00E,Yes, ,,90,91.7448,6.4008,Andesite, ,Yes,"corrected data provided by S. McCutcheon, May 2015"
-66.455394449176,47.5171685569123,4692,471834,R-57,1960, ,40+00S,36+00E,Yes, ,,90,151.4856,2.7432,Gabbro, ,Yes,"corrected data provided by S. McCutcheon, May 2015"
-66.4449989729091,47.5288156302001,4693,471834,R-58,1960, ,8+00N,100+00E,Yes, ,,90,153.3144,0.9144,Andesite, ,Yes,"corrected data provided by S. McCutcheon, May 2015"
-66.4324630187625,47.5265107379318,4694,471831,R-8,1956, ,8+00N,132+75E,Yes, ,,90,225.552,4.572,Gossan, ,Yes,"corrected data provided by S. McCutcheon, May 2015"
-66.4363721067688,47.5756180699253,4695,471830,R-1,1955, ,10+00S,44+00W,Yes, ,156,45,121.0056,8.5344,Tuff, ,Yes,
-66.4318452079424,47.525831027635,4696,471832,R-5,1957, ,6+00N,134+75E,Yes, ,,90,181.356,60.0456,Massive Sulphides, ,Yes,"corrected data provided by S. McCutcheon, May 2015"
-66.431360086585,47.5276018297695,4697,471832,R-6,1957, ,10+00N,134+75E,Yes, ,,90,177.3936,1.8288,Schist, ,Yes,"corrected data provided by S. McCutcheon, May 2015"
-66.8503421151079,47.5094818906316,4698,476759,WB08-15,2008, , , ,Yes, ,90,-45,61,6,rhyolite breccia,NQ,Yes,
-66.8496118783718,47.5094661121874,4699,476759,WB08-16,2008, , , ,Yes, ,270,-45,59,7,sedimentary unit,NQ,Yes,
-66.853007242216,47.5050125035564,4700,476759,WB08-17,2008, , , ,Yes, ,270,-45,69,4,basalt,NQ,Yes,
-66.8540161075669,47.5050184130453,4701,476759,WB08-18,2008, , , ,Yes, ,90,-45,71,5,rhyolite,NQ,Yes,
-66.8583377037644,47.5041686074105,4702,476759,WB08-19,2008, , , ,Yes, ,270,-45,122,3,rhyolite,NQ,Yes,
-66.8583377037644,47.5041686074105,4703,476759,WB08-20,2008, , , ,Yes, ,221,-45,109,4,rhyolite,NQ,Yes,
-66.8603095996999,47.5032990035468,4704,476759,WB08-21,2008, , , ,Yes, ,90,-45,86,4,basalt,NQ,Yes,
-66.8482433899891,47.5113141161002,4705,476759,WB08-22,2008, , , ,Yes, ,241,-45,159.5,4,basalt,NQ,Yes,
-66.8590494967163,47.501468039552,4706,476759,WB08-23,2008, , , ,Yes, ,90,-45,170,4,"basalt-rubble; rhyolite @ 4.5m",NQ,Yes,
-66.8503905566766,47.5067654009302,4707,476759,WB08-24,2008, , , ,Yes, ,270,-45,167,5,sedimentary unit,NQ,Yes,
-66.5596905108705,47.4563628905502,4708,476763,4320B,2008, , , ,Yes,Drill hole also filed in 476843 and 476845,65,-55,219,12,metasedimentary rocks,17,Yes,Coordinates provided
-67.0345663840038,45.3901119395973,4709,476767,WH-08-001,2008, , , ,Yes, ,156,45,228,4.2,siltstone (hornfel),NQ,Yes,
-67.0350859832648,45.3910362535276,4710,476767,WH-08-002,2008, , , ,Yes, ,160,45,185,3.6,siltstone/sandstone (hornfel),NQ,Yes,
-66.0126757837801,45.6684809624846,4711,476773,BH-08-05,2008, , , ,Yes, ,240,45,275.5,4.5,Volcaniclastic (fine to coarse grained),NQ,Yes,
-66.0133643698092,45.6689877885049,4712,476773,BH-08-06,2008, , , ,Yes, ,240,45,290,6,Siltstone (greyish with slight green tinge),NQ,Yes,
-66.010841956941,45.6668624849341,4713,476773,BH-08-07,2008, , , ,Yes, ,210,45,50.32,3,Mafic volcanic (medium grained),NQ,Yes,
-66.0108795078748,45.6669706190283,4714,476773,BH-08-08,2008, , , ,Yes, ,210,45,149,3,Mafic volcanic (medium grained to fine grained),NQ,Yes,
-66.0108759255936,45.6688421212604,4715,476773,BH-08-09,2008, , , ,Yes, ,70,45,202,8,Volcaniclastic (fine to coarse grained),NQ,Yes,
-66.0112196809857,45.6676918997486,4716,476773,BH-08-10,2008, , , ,Yes, ,240,45,206,3,Volcaniclastic with interbedded siltstone,NQ,Yes,
-66.0109494812747,45.6677717143523,4717,476773,BH-08-11,2008, , , ,Yes, ,210,45,224,3,Volcaniclastic (fine to coarse grained),NQ,Yes,
